title,release_year,genres,imdb_score
Johnny Mnemonic,1995,"['scifi', 'thriller', 'action', 'drama']",5.6
Little Women,1994,"['drama', 'family', 'romance']",7.3
Anaconda,1997,"['thriller', 'horror', 'action']",4.8
My Girl,1991,"['comedy', 'drama', 'family', 'romance', 'european']",6.9
Cliffhanger,1993,"['thriller', 'action', 'animation']",6.5
I Know What You Did Last Summer,1997,"['horror', 'thriller']",5.7
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1991,"['scifi', 'action', 'comedy', 'family']",6.0
Barney & Friends,1992,['family'],3.8
Hollow Man,2000,"['scifi', 'action', 'horror', 'thriller']",5.8
Godzilla,1998,"['thriller', 'scifi', 'action']",5.4
Neon Genesis Evangelion: The End of Evangelion,1997,"['scifi', 'action', 'drama', 'fantasy', 'animation']",8.0
Spawn,1997,"['fantasy', 'horror', 'scifi', 'thriller', 'action', 'drama']",5.2
Dennis the Menace,1993,"['comedy', 'family']",5.6
The Net,1995,"['thriller', 'action', 'crime', 'drama']",5.9
The Devil's Own,1997,"['thriller', 'drama', 'action', 'crime', 'european']",6.2
Croupier,1998,"['thriller', 'european', 'crime', 'drama']",7.0
Teenage Mutant Ninja Turtles III,1993,"['fantasy', 'scifi', 'action', 'comedy', 'family']",4.7
The General's Daughter,1999,"['drama', 'crime', 'thriller']",6.4
The Next Karate Kid,1994,"['drama', 'family', 'romance', 'sport', 'action']",4.5
I Still Know What You Did Last Summer,1998,"['thriller', 'horror']",4.7
Double Team,1997,"['scifi', 'action', 'comedy', 'thriller']",4.7
Under Suspicion,2000,"['thriller', 'crime', 'drama', 'european']",6.5
Moesha,1996,"['drama', 'comedy', 'family']",5.7
"Sister, Sister",1994,"['comedy', 'drama', 'family']",6.2
Cardcaptor Sakura,1998,"['scifi', 'comedy', 'drama', 'family', 'fantasy', 'romance', 'animation', 'action']",8.0
Geronimo: An American Legend,1993,"['western', 'drama', 'history']",6.5
The Mirror Has Two Faces,1996,"['romance', 'comedy', 'drama']",6.6
Girlfriends,2000,"['comedy', 'drama']",7.2
Bill Hicks: One Night Stand,1991,['comedy'],
Knight Rider 2000,1991,"['action', 'scifi']",4.5
The Last Days,1998,"['drama', 'documentation', 'war']",7.9
The Parkers,1999,['comedy'],6.8
Heavy,1995,"['romance', 'drama']",6.8
Bill Hicks: Revelations,1993,"['comedy', 'documentation']",8.5
Sankofa,1993,"['drama', 'european']",7.0
Bill Hicks: Relentless,1992,['comedy'],
Dale's Supermarket Sweep,1993,[],7.1
Jerry Seinfeld: I'm Telling You for the Last Time,1998,"['comedy', 'documentation']",7.9
Children of God,1994,['documentation'],6.4
Wild Tango,1993,"['drama', 'music', 'romance']",6.7
Kuch Kuch Hota Hai,1998,"['drama', 'romance', 'comedy']",7.6
Oggy and the Cockroaches,1999,"['comedy', 'family', 'action', 'animation', 'european']",7.4
H,1998,['comedy'],7.4
Herod's Law,1999,"['drama', 'comedy', 'crime']",7.8
Tim Allen: Rewires America,1991,"['comedy', 'documentation']",5.9
Heartbreak High,1994,"['drama', 'romance', 'comedy']",7.8
Dil Se..,1998,"['drama', 'romance']",7.5
Escalona,1991,['drama'],
Aashik Aawara,1993,"['romance', 'comedy', 'drama']",4.7
Destiny,1997,"['drama', 'romance', 'comedy', 'history']",7.1
Oh Darling! Yeh Hai India!,1995,['comedy'],4.0
A Triumph of the Heart: The Ricky Bell Story,1991,"['drama', 'sport']",7.2
Bombay,1995,"['romance', 'drama']",8.1
West Beirut,1998,"['romance', 'war', 'comedy', 'drama', 'european']",7.6
Muthu,1995,"['drama', 'comedy', 'romance', 'action']",7.6
Qila,1998,"['drama', 'music', 'family']",4.8
Ram Jaane,1995,"['action', 'drama', 'romance', 'crime']",5.4
Chamatkar,1992,"['comedy', 'fantasy', 'drama', 'crime']",6.5
Soldier,1998,"['thriller', 'action', 'drama', 'romance']",6.2
Okupas,2000,"['crime', 'drama']",9.0
Hum Saath Saath Hain,1999,"['fantasy', 'romance', 'family', 'drama']",6.2
Kabhi Haan Kabhi Naa,1994,"['comedy', 'drama', 'music', 'romance']",7.6
Nightmare in Columbia County,1991,"['drama', 'crime', 'thriller']",5.5
Phir Bhi Dil Hai Hindustani,2000,"['comedy', 'romance', 'drama']",6.1
Sam Kinison: Family Entertainment Hour,1991,['comedy'],
Jeans,1998,"['drama', 'romance', 'comedy']",6.4
Chaahat,1996,"['drama', 'romance']",5.5
Hum Aapke Hain Koun..!,1994,"['romance', 'comedy', 'drama']",7.5
