title,release_year,genres,imdb_score
Fastest Car,2018,"['reality', 'documentation']",7.1
Seeking a Man,2017,"['comedy', 'drama', 'romance']",6.3
Toilet: A Love Story,2017,"['comedy', 'drama', 'romance']",7.2
Terrorism Close Calls,2018,['documentation'],5.1
6 Balloons,2018,['drama'],5.9
#realityhigh,2017,"['comedy', 'drama', 'romance']",5.2
13 Reasons Why: Beyond the Reasons,2017,['documentation'],6.2
Seth Rogen's Hilarity for Charity,2018,"['comedy', 'documentation']",5.0
Stree,2018,"['horror', 'comedy']",7.6
Wedding Unplanned,2017,"['comedy', 'romance', 'drama', 'european']",5.7
Stay Here,2018,['reality'],7.4
Kantaro: The Sweet Tooth Salaryman,2017,"['comedy', 'drama']",7.6
SWORDGAI The Animation,2018,"['scifi', 'animation', 'action', 'fantasy', 'horror']",5.8
Beyond Stranger Things,2017,['documentation'],7.4
44 Cats,2018,"['action', 'comedy', 'family', 'music', 'animation']",6.1
Close Enemies,2018,"['drama', 'thriller', 'european']",6.4
The Mitfords: A Tale of Two Sisters,2017,['documentation'],
The Tree of Blood,2018,"['drama', 'european']",6.4
They'll Love Me When I'm Dead,2018,['documentation'],7.4
Nappily Ever After,2018,"['comedy', 'drama', 'romance']",6.4
Bomb Scared,2017,"['comedy', 'european']",5.7
Handsome: A Netflix Mystery Movie,2017,"['comedy', 'documentation']",5.2
Dragon Pilot: Hisone and Masotan,2018,"['scifi', 'drama', 'animation', 'fantasy']",6.9
Nailed It! Holiday!,2018,['reality'],7.7
Lommbock,2017,"['comedy', 'european']",6.7
Terrace House: Opening New Doors,2017,"['reality', 'drama']",7.8
Maktub,2017,"['drama', 'comedy']",7.3
Black Is Beltza,2018,"['thriller', 'animation', 'drama']",5.8
The Legend of Cocaine Island,2018,['documentation'],6.3
Mom,2017,"['crime', 'thriller', 'drama']",7.2
ReBoot: The Guardian Code,2018,"['action', 'scifi', 'comedy', 'drama']",3.8
Half Girlfriend,2017,"['romance', 'drama']",4.6
Neo Yokio,2017,"['scifi', 'action', 'animation', 'comedy', 'fantasy']",5.9
Black,2017,"['scifi', 'drama', 'action', 'thriller', 'horror', 'romance', 'crime', 'fantasy']",8.0
The Motive,2017,"['drama', 'thriller', 'comedy', 'crime', 'european']",6.5
Lady J,2018,"['romance', 'drama', 'european']",6.8
Right Here Right Now,2018,"['drama', 'music', 'comedy', 'european']",5.4
Shéhérazade,2018,"['thriller', 'drama', 'romance', 'european']",7.0
Shepherds and Butchers,2017,"['drama', 'crime']",6.8
The Most Unknown,2018,['documentation'],6.6
A Fortunate Man,2018,"['drama', 'romance', 'european']",7.2
LEGO Marvel Super Heroes: Guardians of the Galaxy - The Thanos Threat,2017,"['animation', 'fantasy', 'scifi', 'action', 'comedy']",5.9
Out of Thin Air,2017,"['crime', 'documentation']",6.3
"Ron White: If You Quit Listening, I'll Shut Up",2018,['comedy'],6.5
Sir,2018,"['romance', 'drama', 'european']",7.7
Secret Superstar,2017,"['drama', 'music']",7.9
Pope Francis: A Man of His Word,2018,"['documentation', 'european']",6.4
Demetri Martin: The Overthinker,2018,['comedy'],7.2
Katt Williams: Great America,2018,['comedy'],6.2
Sahara,2017,"['comedy', 'family', 'romance', 'animation', 'drama', 'european']",5.5
Budapest,2018,"['comedy', 'european']",5.4
El Camino Christmas,2017,"['crime', 'comedy', 'western']",5.7
BuyBust,2018,"['thriller', 'action', 'drama', 'crime']",5.8
Patton Oswalt: Annihilation,2017,"['comedy', 'documentation']",7.2
Super Monsters,2017,"['animation', 'comedy', 'family', 'horror']",6.3
Ali's Wedding,2017,"['comedy', 'drama', 'romance']",6.9
Amy Schumer: The Leather Special,2017,['comedy'],3.0
Aapla Manus,2018,"['thriller', 'drama']",7.0
Bibi & Tina: Perfect Pandemonium,2017,"['fantasy', 'drama', 'family', 'comedy', 'european']",4.0
Shot in the Dark,2017,"['reality', 'documentation', 'thriller']",8.0
Castle and Castle,2018,['drama'],
Retablo,2018,['drama'],7.5
The American Meme,2018,['documentation'],6.8
Holy Goalie,2018,"['comedy', 'sport', 'european']",5.3
Burn Out,2018,"['thriller', 'crime', 'action', 'european']",6.2
The Tribe,2018,"['comedy', 'family', 'european']",5.8
Family Blood,2018,"['horror', 'thriller', 'drama']",4.2
Time: The Kalief Browder Story,2017,['documentation'],8.5
Barbie: Dolphin Magic,2017,['fantasy'],
Love and Fortune,2018,"['drama', 'romance']",7.3
Drug Lords,2018,['documentation'],6.8
Follow This,2018,['documentation'],4.9
Paprika,2018,"['animation', 'family']",7.5
Victim Number 8,2018,"['drama', 'crime', 'fantasy', 'action', 'thriller']",7.0
The Rise of Phoenixes,2018,"['drama', 'history', 'romance']",8.4
Break,2018,"['drama', 'comedy', 'european']",5.8
Derren Brown: The Push,2018,"['reality', 'documentation']",7.5
Unrequited Love,2017,['drama'],6.7
First Match,2018,"['drama', 'sport']",6.4
Point Blank,2017,"['action', 'thriller', 'crime', 'drama']",5.7
The Warning,2018,"['fantasy', 'thriller', 'action', 'horror', 'crime', 'drama', 'european']",5.9
The Princess Switch,2018,"['romance', 'comedy', 'drama', 'family']",6.0
Sanju,2018,"['drama', 'comedy']",7.7
LEGO Marvel Super Heroes: Black Panther - Trouble in Wakanda,2018,"['fantasy', 'action', 'comedy', 'scifi', 'animation']",5.6
My Perfect Romance,2018,['romance'],4.6
The Drug King,2018,"['crime', 'drama', 'action']",6.2
Nigerian Prince,2018,"['thriller', 'crime', 'drama']",5.8
Sun Dogs,2017,"['drama', 'fantasy', 'comedy']",6.2
A Witches' Ball,2017,"['fantasy', 'scifi', 'family', 'comedy']",5.2
Ittefaq,2017,"['thriller', 'crime']",7.2
The Chase,2017,"['thriller', 'crime', 'drama']",6.6
Limitless,2017,['documentation'],
Eerie,2018,"['horror', 'thriller', 'crime', 'drama']",4.6
Al Hayba,2017,"['action', 'thriller', 'crime', 'romance', 'drama']",7.5
Hymn of Death,2018,"['drama', 'history', 'music', 'romance']",7.6
Going for Gold,2018,"['drama', 'family', 'sport']",4.8
Judwaa 2,2017,"['romance', 'action', 'comedy']",3.6
The Milk System,2018,"['documentation', 'european']",7.0
The Degenerates,2018,['comedy'],6.2
Motown Magic,2018,"['animation', 'comedy', 'family', 'fantasy', 'music']",7.9
Ronnie Coleman: The King,2018,['documentation'],7.0
Nobody Speak: Trials of the Free Press,2017,"['documentation', 'european']",6.5
Titipo Titipo,2018,['animation'],6.6
Blood Pact,2018,"['drama', 'crime']",6.7
Bareilly Ki Barfi,2017,"['romance', 'comedy']",7.5
Lost Song,2018,"['scifi', 'action', 'animation', 'drama', 'fantasy', 'music', 'romance']",7.0
Rapture,2018,"['documentation', 'scifi', 'thriller', 'horror', 'music']",5.4
Duck Duck Goose,2018,"['comedy', 'family', 'animation']",5.7
Revenger,2018,"['action', 'crime', 'thriller']",5.7
Larva Island,2018,"['comedy', 'animation']",6.6
Little Boxes,2017,"['drama', 'comedy']",5.9
Zac & Mia,2017,['drama'],7.8
Move,2018,['documentation'],7.5
Jerry Before Seinfeld,2017,"['comedy', 'documentation']",7.0
"Norm Macdonald: Hitler's Dog, Gossip & Trickery",2017,"['comedy', 'documentation']",7.4
AMO,2018,['crime'],6.6
Mustang Island,2017,"['comedy', 'drama']",6.2
The Laws of Thermodynamics,2018,"['romance', 'comedy', 'european']",6.0
Edge of Fear,2018,"['thriller', 'crime', 'action']",4.5
Clean with Passion for Now,2018,"['comedy', 'drama', 'romance']",7.0
Nothing to Lose,2018,['drama'],2.3
Daughters of Destiny,2017,['documentation'],8.6
Love Daily,2018,"['drama', 'romance']",6.2
Uncertain Glory,2017,"['drama', 'european']",6.2
Expedition Happiness,2017,"['documentation', 'european']",5.9
Ari Shaffir: Double Negative,2017,['comedy'],
Taramani,2017,"['drama', 'romance']",7.5
Step Sisters,2018,['comedy'],5.4
Dovlatov,2018,['drama'],6.4
Hot Sweet Sour,2017,"['romance', 'drama']",6.1
Relatable,2018,['comedy'],
They've Gotta Have Us,2018,['documentation'],7.7
SPF-18,2017,"['romance', 'drama', 'sport']",3.2
Millennials,2018,['drama'],
Samouni Road,2018,"['documentation', 'animation', 'european']",6.7
My Birthday Song,2018,['thriller'],5.6
ReMastered: Tricky Dick & The Man in Black,2018,"['documentation', 'music']",7.1
Joe Rogan: Strange Times,2018,['comedy'],7.3
Alaska Is a Drag,2017,['drama'],6.5
Rangoon,2017,"['war', 'history', 'drama', 'romance', 'action']",5.7
A Christmas Prince: The Royal Wedding,2018,"['romance', 'drama']",5.3
72 Dangerous Animals: Asia,2018,['documentation'],6.6
Prince of Peoria,2018,"['comedy', 'family']",5.7
Something Huge,2017,"['comedy', 'european']",4.4
Trevor Noah: Son of Patricia,2018,['comedy'],7.3
Raising the Bar,2017,"['drama', 'family', 'documentation', 'sport']",5.5
Pup Star: Better 2Gether,2017,['family'],4.4
Jab Harry Met Sejal,2017,"['romance', 'comedy', 'drama']",5.0
Kuroko's Basketball the Movie: Last Game,2017,"['animation', 'drama', 'sport']",7.7
Black Crows,2017,"['war', 'drama', 'thriller']",5.4
Tottaa Pataaka Item Maal,2018,['drama'],7.6
Pihu,2018,"['thriller', 'drama', 'family']",6.7
Isoken,2017,"['romance', 'drama', 'comedy']",6.6
The Little Vampire 3D,2017,"['fantasy', 'horror', 'animation', 'comedy', 'family', 'european']",5.4
Armed to the Teeth,2018,"['documentation', 'crime', 'thriller']",7.9
Spyder,2017,"['thriller', 'action', 'crime']",6.3
Saving Capitalism,2017,['documentation'],6.8
Yummy Mummies,2017,"['reality', 'comedy']",4.0
Carbone,2017,"['thriller', 'crime', 'european']",6.5
Ali Wong: Hard Knock Wife,2018,['comedy'],7.3
The Last Shaman,2017,"['documentation', 'drama', 'family', 'european']",6.6
Feminists: What Were They Thinking?,2018,['documentation'],6.9
Dany Boon: Des Hauts-De-France,2018,"['comedy', 'european']",6.2
Quién te cantará,2018,"['thriller', 'drama', 'music', 'european']",6.9
Ponysitters Club,2018,['family'],6.0
Ashes of Love,2018,"['drama', 'comedy', 'thriller', 'fantasy', 'romance']",8.5
Barbra: The Music ... The Mem'ries ... The Magic!,2017,"['documentation', 'music']",7.5
72 Dangerous Animals: Latin America,2017,['documentation'],6.5
Russell Brand: Re:Birth,2018,['comedy'],6.5
Katherine Ryan: In Trouble,2017,['comedy'],7.0
Heroin(e),2017,['documentation'],
Vai Anitta,2018,"['documentation', 'reality']",5.6
Dancing Queen,2018,"['reality', 'music']",6.9
The 3rd Eye,2017,"['horror', 'thriller', 'animation', 'drama', 'fantasy', 'european']",5.1
Small Crimes,2017,"['crime', 'drama', 'thriller']",5.8
Ee Nagaraniki Emaindi,2018,"['drama', 'comedy']",7.9
Gun City,2018,"['drama', 'history', 'thriller', 'action', 'crime', 'european']",6.3
Accidentally In Love,2018,"['comedy', 'drama', 'music', 'romance']",7.6
Craig Ferguson: Tickle Fight,2017,['comedy'],6.6
El club de los buenos infieles,2018,"['comedy', 'european']",5.5
The Joel McHale Show with Joel McHale,2018,['comedy'],7.1
The Day I Met El Chapo: The Kate del Castillo Story,2017,['documentation'],6.8
Deidra & Laney Rob a Train,2017,"['drama', 'comedy', 'crime']",6.0
Jagga Jasoos,2017,"['romance', 'action', 'comedy']",6.4
Candy Jar,2018,['comedy'],5.8
Christmas Wedding Planner,2017,['romance'],4.3
Parmanu: The Story of Pokhran,2018,"['drama', 'history', 'action']",7.6
F.R.E.D.I.,2018,"['scifi', 'family']",4.9
"Roxanne, Roxanne",2017,"['drama', 'music']",6.2
Rip Tide,2017,"['drama', 'family', 'action', 'thriller']",5.5
Jeff Dunham: Relative Disaster,2017,['comedy'],6.4
The Insomnia Club,2018,"['comedy', 'drama']",6.2
Rodney Carrington: Here Comes the Truth,2017,"['comedy', 'documentation']",4.5
Mariposa de barrio,2017,['drama'],7.6
ReMastered: Who Shot the Sheriff,2018,"['documentation', 'crime', 'history', 'music']",6.9
Angela's Christmas,2017,"['family', 'animation']",
What We Started,2018,"['documentation', 'music']",7.1
Marc Maron: Too Real,2017,['comedy'],7.2
Christina P: Mother Inferior,2017,['comedy'],6.4
Best.Worst.Weekend.Ever.,2018,"['comedy', 'family']",6.4
Treehouse Detectives,2018,['animation'],7.6
Baazaar,2018,"['drama', 'crime', 'thriller']",6.5
Getaway Plan,2017,"['thriller', 'crime', 'drama', 'action', 'european']",5.6
Bill Burr: Walk Your Way Out,2017,"['comedy', 'documentation']",7.2
Samantha!,2018,['comedy'],6.6
Trevor Noah: Afraid of the Dark,2017,['comedy'],7.2
The Plagues of Breslau,2018,"['crime', 'thriller', 'action', 'european']",5.9
Period. End of Sentence.,2018,['documentation'],
Qarib Qarib Singlle,2017,"['drama', 'romance', 'comedy']",7.1
Joy,2018,"['drama', 'european']",6.6
On Children,2018,"['drama', 'family', 'scifi']",7.2
Zoo,2018,['drama'],5.7
Forgive Us Our Debts,2018,"['drama', 'european']",6.2
Derren Brown: Miracle,2018,['documentation'],6.5
Legend Quest,2017,"['animation', 'comedy', 'fantasy']",7.3
Trailer Park Boys: Out of the Park: USA,2017,['comedy'],
Angamaly Diaries,2017,"['action', 'drama', 'comedy', 'thriller']",8.0
Perú: Tesoro Escondido,2017,['documentation'],6.1
The Curious Creations of Christine McConnell,2018,"['reality', 'comedy', 'horror']",7.7
Dry Martina,2018,"['drama', 'comedy']",5.8
Sara's Notebook,2018,"['thriller', 'drama', 'european']",5.9
Paul Hollywood's Big Continental Road Trip,2017,"['documentation', 'european']",7.4
HiGH&LOW The Movie 2: End of Sky,2017,['action'],7.1
Sand Storm,2017,['drama'],6.8
CIA: Comrade In America,2017,"['romance', 'drama', 'action']",6.4
The Art of Loving: Story of Michalina Wislocka,2017,"['drama', 'comedy', 'romance', 'european']",7.1
ReMastered: Who Killed Jam Master Jay?,2018,"['music', 'documentation']",6.5
Love Beats Rhymes,2017,['drama'],5.4
Burning Sands,2017,"['drama', 'thriller', 'action']",6.0
Judd Apatow: The Return,2017,['comedy'],6.2
"Heidi, bienvenida a casa",2017,"['comedy', 'family']",6.2
Up Among the Stars,2018,"['drama', 'european']",6.2
Sabrina,2018,"['thriller', 'horror']",4.2
Jailbreak,2017,"['action', 'comedy']",5.4
Secrets in the Hot Spring,2018,"['horror', 'comedy']",6.0
III Smoking Barrels,2017,['drama'],6.6
Iliza Shlesinger: Elder Millennial,2018,['comedy'],7.2
Amelia: A Tale of Two Sisters,2017,['documentation'],
Manto,2018,['drama'],7.3
The Skin of the Wolf,2018,"['romance', 'thriller', 'action', 'drama', 'european']",5.8
Being Napoleon,2018,['documentation'],5.5
El testigo,2018,['documentation'],8.1
All Good,2018,"['drama', 'comedy', 'european']",6.5
Paradox,2018,"['western', 'fantasy', 'music']",3.9
Monster Island,2017,"['comedy', 'fantasy', 'animation', 'family']",4.7
Invisible,2017,['drama'],6.0
Counterpunch,2017,['documentation'],6.7
Weed the People,2018,['documentation'],7.3
Dear Ex,2018,"['drama', 'comedy', 'romance']",7.3
Rory Scovel Tries Stand-Up for the First Time,2017,"['comedy', 'documentation']",6.7
Cycle,2018,"['drama', 'comedy', 'animation']",8.2
How to Stage a Coup,2017,['documentation'],6.1
Qismat,2018,"['romance', 'drama']",8.1
Milada,2017,"['drama', 'history', 'european']",6.3
Romina,2018,"['horror', 'thriller']",2.3
The Most Assassinated Woman in the World,2018,"['thriller', 'drama', 'european']",5.3
Jackie: A Tale of Two Sisters,2017,['documentation'],
B. A. Pass 2,2017,['drama'],2.2
A 3 Minute Hug,2018,['documentation'],
Aggretsuko: We Wish You A Metal Christmas,2018,"['animation', 'comedy']",
Kalushi : The Story of Solomon Mahlangu,2017,"['drama', 'thriller']",6.5
Franco Escamilla: Por La Anécdota,2018,['comedy'],6.9
"Michael Bolton's Big, Sexy Valentine's Day Special",2017,"['comedy', 'music', 'romance']",6.7
A Champion Heart,2018,['family'],5.9
The Russian Revolution,2017,"['documentation', 'history']",6.5
On My Skin,2018,"['drama', 'european']",7.3
Westside,2018,['reality'],6.0
Boca Juniors Confidential,2018,"['documentation', 'sport']",6.3
Love per Square Foot,2018,"['romance', 'comedy']",7.2
The Judgement,2018,"['drama', 'crime']",7.1
The Mansion,2017,"['horror', 'comedy', 'european']",4.6
My Only Love Song,2017,"['drama', 'comedy', 'fantasy', 'romance']",7.0
Borges,2018,['comedy'],6.2
Stretch Armstrong & the Flex Fighters,2017,"['action', 'comedy', 'scifi', 'animation']",6.2
Lucid Dream,2017,"['thriller', 'scifi']",6.1
Made in Mexico,2018,['reality'],3.9
Dinotrux: Supercharged,2017,"['family', 'animation', 'action', 'comedy']",7.5
In the Family,2017,['comedy'],7.7
Jefe,2018,"['comedy', 'european']",5.4
Monkart,2017,[],
Revolutionary Love,2017,"['comedy', 'romance']",6.9
Dennis & Gnasher Unleashed!,2017,"['animation', 'comedy']",7.3
The Gift,2017,['drama'],8.1
Dear Son,2018,['drama'],6.5
Mission Kathmandu: The Adventures of Nelly & Simon,2017,"['animation', 'comedy']",5.1
Baadshaho,2017,"['action', 'thriller']",5.0
Love.com,2017,"['romance', 'comedy']",5.8
Ex-Shaman,2018,['documentation'],7.1
Recovery Boys,2018,['documentation'],6.7
The Unknown Hitman: The Story of El Cholo Adrián,2017,"['action', 'crime']",6.7
Christmas with a Prince,2018,"['romance', 'drama']",5.2
Buddy Thunderstruck: The Maybe Pile,2017,['comedy'],
Bayonet,2018,['drama'],5.7
Frat Star,2017,"['drama', 'comedy']",3.6
Death by Magic,2018,['reality'],6.1
A Sort of Family,2017,"['drama', 'thriller', 'crime', 'european']",6.3
Sudani from Nigeria,2018,"['comedy', 'drama', 'family', 'sport']",8.2
Kuntilanak,2018,"['comedy', 'horror', 'family']",4.6
The Last Hour,2017,"['drama', 'thriller', 'history']",6.3
Njan Prakashan,2018,"['comedy', 'drama']",7.6
The Crossing,2017,['documentation'],7.5
Ainori Love Wagon: Asian Journey,2017,['reality'],6.8
The Holiday Calendar,2018,"['romance', 'comedy', 'drama', 'fantasy']",5.7
Cities of Last Things,2018,"['crime', 'drama', 'scifi']",6.2
The Trader,2018,['documentation'],
Little Singham,2018,['action'],3.5
Million Pound Menu,2018,['reality'],6.5
Seeing Allred,2018,['documentation'],7.2
Take My Brother Away,2018,"['comedy', 'drama', 'family']",6.7
A Taiwanese Tale of Two Cities,2018,['drama'],6.1
Fire Chasers,2017,['documentation'],6.6
Jimmy: The True Story of a True Idiot,2018,"['drama', 'comedy']",6.8
The Grown-Ups,2017,['documentation'],7.6
Christmas with a View,2018,"['romance', 'drama']",5.1
Smoking,2018,"['drama', 'crime', 'comedy']",7.4
Paranormal Investigation,2018,"['thriller', 'horror']",3.7
Carlos Ballarta: furia ñera,2018,['comedy'],7.2
C/o Kancharapalem,2018,['drama'],9.0
Animas,2018,"['drama', 'horror', 'thriller', 'animation', 'european']",
Coin Heist,2017,"['crime', 'thriller', 'drama', 'romance']",4.8
Here to Heart,2018,"['drama', 'romance']",7.5
Semesta,2018,['documentation'],7.3
Rajma Chawal,2018,"['comedy', 'drama', 'family']",5.7
Sofía Niño de Rivera: Natural Selection,2018,['comedy'],6.9
Unbridled,2018,"['thriller', 'european']",5.1
LEGO Elves: Secrets of Elvendale,2017,"['scifi', 'animation', 'fantasy']",6.9
The Mars Generation,2017,['documentation'],6.5
Deranged,2017,['thriller'],3.5
El Diesel,2018,"['thriller', 'action', 'crime']",4.5
Time Share,2018,"['drama', 'horror', 'thriller', 'european']",5.9
The Wishing Tree,2017,"['fantasy', 'drama']",5.7
Oh My Ghost,2018,"['drama', 'comedy']",
Edha,2018,['drama'],4.9
Overnight Republic,2017,['comedy'],5.8
Been So Long,2018,"['romance', 'drama']",5.4
Wrong Kind of Black,2018,"['comedy', 'drama']",7.7
Gad Elmaleh: American Dream,2018,['comedy'],7.2
Maz Jobrani: Immigrant,2017,"['comedy', 'documentation']",6.7
Love Jacked,2018,"['comedy', 'romance']",5.9
Monkey Twins,2018,"['crime', 'action']",7.9
Michael Lost and Found,2017,['documentation'],
Kartini: Princess of Java,2017,"['drama', 'family', 'history', 'european']",7.6
Resurface,2017,"['documentation', 'sport', 'war']",7.1
True: Magical Friends,2018,['animation'],
Laerte-se,2017,['documentation'],7.0
Take the 10,2017,['comedy'],4.7
Ladies First,2017,"['documentation', 'comedy', 'romance']",3.9
Dismissal,2017,['comedy'],5.0
Sunday's Illness,2018,"['drama', 'european']",6.9
Baby Ballroom,2017,['documentation'],7.8
Target,2018,"['horror', 'thriller', 'comedy']",3.9
Liberated: The New Sexual Revolution,2017,['documentation'],6.0
Age of Rebellion,2018,"['drama', 'romance', 'crime']",8.6
Naam Shabana,2017,"['thriller', 'action', 'drama']",6.2
Born Racer,2018,"['drama', 'action', 'documentation']",6.1
The Girl Allergic to Wi-Fi,2018,['romance'],6.3
HiGH&LOW The Movie 3: Final Mission,2017,"['drama', 'action']",7.7
Kevin James: Never Don't Give Up,2018,['comedy'],6.1
Sylvia,2018,"['thriller', 'drama', 'romance']",4.7
Suzzanna: Buried Alive,2018,"['horror', 'comedy', 'drama', 'thriller']",5.5
The Doll 2,2017,"['thriller', 'horror']",5.2
How to Get Over a Breakup,2018,['comedy'],6.1
All About the Washingtons,2018,"['comedy', 'music']",4.8
Cook Off,2017,"['comedy', 'romance']",6.1
Weapon of Choice,2018,"['documentation', 'european']",4.8
All the Reasons to Forget,2017,"['comedy', 'drama']",6.2
The Lost Brother,2017,"['thriller', 'crime', 'drama', 'european']",6.5
D.L. Hughley: Contrarian,2018,['comedy'],6.6
Part-Time Idol,2017,"['drama', 'family', 'music', 'comedy']",6.7
Hometown Holiday,2018,"['drama', 'romance', 'comedy']",5.0
Zion,2018,"['documentation', 'drama']",
The Single Wives,2018,['reality'],6.5
Can't Help Falling in Love,2017,"['romance', 'comedy', 'drama']",7.2
The Honeymoon Stand Up Special,2018,['comedy'],6.8
Blanche Gardin: I Talk to Myself,2017,"['comedy', 'european']",7.9
Fishtronaut: The Movie,2018,"['animation', 'family']",7.5
Gad Gone Wild,2017,"['comedy', 'european']",6.9
Awe!,2018,"['drama', 'romance', 'thriller', 'fantasy', 'horror', 'scifi']",7.8
Pad Man,2018,"['comedy', 'drama']",7.9
Jack Whitehall: At Large,2017,['comedy'],6.9
Sparring,2017,"['drama', 'sport', 'european']",6.4
A Boy Named Flora A,2017,"['drama', 'comedy']",7.9
My Travel Buddy,2017,['comedy'],6.1
Tiffany Haddish: She Ready! From the Hood to Hollywood!,2017,"['comedy', 'documentation']",6.6
God Calling,2018,['drama'],
Party Monster: Scratching the Surface,2018,['comedy'],
Catching Feelings,2017,"['romance', 'comedy', 'drama']",5.8
Strongest Deliveryman,2017,"['drama', 'romance']",7.4
Jen Kirkman: Just Keep Livin'?,2017,['comedy'],6.7
Crossroads: One Two Jaga,2018,"['drama', 'crime']",6.6
Superlopez,2018,"['comedy', 'scifi', 'action', 'european']",5.4
The Birth Reborn 2,2018,['documentation'],6.6
The Last Runaway,2018,"['crime', 'action', 'drama']",5.9
Soorma,2018,"['drama', 'sport']",7.4
Cristela Alonzo: Lower Classy,2017,['comedy'],6.4
The Could've-Gone-All-the-Way Committee,2018,"['comedy', 'drama']",6.8
48 Christmas Wishes,2017,"['family', 'fantasy', 'comedy']",3.9
The Maus,2017,"['horror', 'fantasy', 'drama', 'european']",4.7
Bygones Be Bygones,2017,['comedy'],6.2
Russell Howard: Recalibrate,2017,['comedy'],7.4
The Girl From the Song,2017,"['drama', 'music', 'romance', 'european']",5.6
Manu,2018,"['thriller', 'romance']",8.0
Goyo: The Boy General,2018,"['history', 'action', 'war']",6.7
Lucas Brothers: On Drugs,2017,['comedy'],5.5
Coffee for All,2017,"['documentation', 'european']",5.6
Loudon Wainwright III: Surviving Twin,2018,"['music', 'documentation']",7.1
Ana e Vitória,2018,"['romance', 'comedy', 'music']",6.4
King of Boys,2018,"['drama', 'crime']",6.1
The Many Faces of Ito,2017,"['drama', 'comedy', 'romance']",6.7
Silence Is Welcome,2017,['drama'],4.6
Two Catalonias,2018,"['documentation', 'history', 'european']",6.4
No One Will Ever Know,2018,['drama'],6.2
Def Comedy Jam 25,2017,"['comedy', 'documentation']",6.6
Genius,2018,[],
Lovefucked,2018,['drama'],
Bon Cop Bad Cop 2,2017,"['crime', 'action', 'comedy']",6.6
Jim Jefferies: This Is Me Now,2018,['comedy'],7.3
Match,2017,['drama'],4.1
Mubarakan,2017,"['drama', 'comedy', 'romance']",5.6
Paskal,2018,"['action', 'drama']",6.8
Stars in the Sky: A Hunting Story,2018,['documentation'],7.3
Notes from Dunblane: Lessons from a School Shooting,2018,['documentation'],
Tattoo of Revenge,2018,"['thriller', 'comedy', 'romance']",4.9
Pickpockets,2018,"['drama', 'thriller', 'crime']",5.4
El Potro: lo mejor del amor,2018,"['drama', 'music']",5.2
Neevevaro,2018,"['thriller', 'action', 'drama', 'romance']",6.9
"Out of Many, One",2018,['documentation'],
A House of Blocks,2017,"['horror', 'drama']",2.3
First and Last,2018,['documentation'],6.7
Judah Friedlander: America Is the Greatest Country in the United States,2017,"['comedy', 'documentation']",7.8
#ABtalks,2018,[],9.6
Dave Chappelle: Equanimity & The Bird Revelation,2017,['comedy'],
Aurora,2018,"['thriller', 'horror']",4.3
Gunshot,2018,"['drama', 'thriller', 'crime', 'documentation', 'european']",6.8
Smaller and Smaller Circles,2017,"['thriller', 'crime']",6.6
Todd Barry: Spicy Honey,2017,['comedy'],6.8
Joshua: Teenager vs. Superpower,2017,['documentation'],7.2
The Bros,2017,"['comedy', 'fantasy']",6.1
5 Star Christmas,2018,"['comedy', 'european']",4.5
The Reservoir Game,2017,['documentation'],6.0
Todo lo que sería Lucas Lauriente,2018,['comedy'],6.9
Running Man,2017,"['animation', 'comedy']",8.4
Julie's Greenroom,2017,"['comedy', 'family']",8.2
DTC –Yukemuri Junjo Hen– from HiGH&LOW,2018,"['comedy', 'drama']",6.8
Hari Kondabolu: Warn Your Relatives,2018,['comedy'],6.5
Alexis de Anda: Mea Culpa,2017,['comedy'],4.9
Freej Al Taibeen,2018,"['comedy', 'sport']",5.8
All Hail King Julien: Exiled,2017,"['animation', 'comedy', 'family', 'fantasy']",7.5
Gurgaon,2017,"['thriller', 'crime']",6.5
Ani... Dr. Kashinath Ghanekar,2018,['drama'],8.5
Jim Norton: Mouthful of Shame,2017,['comedy'],7.0
Fanatyk,2017,"['drama', 'comedy']",
Jonaki,2018,"['fantasy', 'drama', 'european']",6.8
Rafinha Bastos: Ultimatum,2018,['comedy'],6.5
A StoryBots Christmas,2017,"['fantasy', 'comedy', 'family']",5.7
Falling in Love Like a Romantic Drama,2018,['reality'],
Justice: Qalb Al Adala,2017,"['drama', 'crime']",5.6
Lionheart,2018,"['drama', 'comedy']",5.7
"To Each, Her Own",2018,"['romance', 'comedy', 'drama', 'european']",5.4
REA(L)OVE,2018,['reality'],6.6
Droppin' Cash: Los Angeles,2018,['reality'],3.4
Argon,2017,['drama'],7.3
Night of Knots,2018,['comedy'],5.4
Love You to the Stars and Back,2017,"['drama', 'comedy', 'romance']",7.6
Marlon Wayans: Woke-ish,2018,"['comedy', 'documentation']",6.5
Buddy Thunderstruck,2017,"['comedy', 'sport', 'animation', 'action', 'family']",7.8
Ghost Hunting,2017,"['documentation', 'european']",7.1
Music Teacher,2018,"['drama', 'romance']",6.2
Poster Boys,2017,['comedy'],5.5
Blazing Transfer Students,2017,"['action', 'comedy']",7.0
Club de Cuervos Presents: The Ballad of Hugo Sánchez,2018,"['comedy', 'drama']",6.4
Munafik 2,2018,['horror'],6.3
The Hows of Us,2018,"['drama', 'comedy', 'romance']",6.7
Regiment Diaries,2018,['documentation'],8.6
Marco Luque - We are together,2017,['comedy'],4.4
Felipe Neto: My Life Makes No Sense,2017,"['comedy', 'documentation']",4.4
